date,turnover_count,sold_count,bought_count,retained_count,sold_tickers,bought_tickers,avg_return_after_sale_20d,winner_sold_count,whipsaw_proxy,turnover_rate_proxy
2023-03-01,2,1,1,1,META,NVDA,0.1841195264196935,1,0,0.6666666666666666
2023-03-08,2,1,1,1,TSLA,VIST,0.0193406828157194,0,0,0.6666666666666666
2023-03-15,2,1,1,1,VIST,META,0.3161448329705976,1,0,0.6666666666666666
2023-03-22,2,1,1,1,META,AMD,0.0663630945780704,1,0,0.6666666666666666
2023-03-29,2,1,1,1,AMD,META,-0.0900197130413821,0,0,0.6666666666666666
2023-04-05,2,1,1,1,NVDA,INTC,0.0253338693767417,0,0,0.6666666666666666
2023-04-13,4,2,2,0,"INTC,META","VIST,YPF",-0.015851885643442004,1,0,1.0
2023-04-20,0,0,0,2,,,,0,0,0.0
2023-04-27,4,2,2,0,"VIST,YPF","AMZN,META",0.0180164251081524,0,0,1.0
2023-05-04,2,1,1,1,AMZN,NVDA,0.1947115384615385,1,0,0.6666666666666666
2023-05-11,2,1,1,1,META,AMD,0.1236694505755067,1,0,0.6666666666666666
2023-05-18,0,0,0,2,,,,0,0,0.0
2023-05-25,0,0,0,2,,,,0,0,0.0
2023-06-02,0,0,0,2,,,,0,0,0.0
2023-06-09,0,0,0,2,,,,0,0,0.0
2023-06-16,4,1,3,1,AMD,"TSLA,VIST,YPF",-0.0179047426140435,0,0,0.8
2023-06-26,2,2,0,2,"NVDA,VIST",,0.10754192764253415,2,0,0.5
2023-07-03,0,0,0,2,,,,0,0,0.0
2023-07-11,2,1,1,1,TSLA,NVDA,-0.0744653655079097,0,0,0.6666666666666666
2023-07-18,2,1,1,1,YPF,VIST,-0.0910852641542399,0,0,0.6666666666666666
2023-07-25,2,0,2,2,,"AVGO,TSLA",,0,0,0.5
2023-08-01,4,3,1,1,"AVGO,TSLA,VIST",CCJ,-0.004109150291374666,0,0,0.8
2023-08-08,0,0,0,2,,,,0,0,0.0
2023-08-15,2,1,1,1,NVDA,INTC,0.0351616302214321,0,0,0.6666666666666666
2023-08-22,2,1,1,1,INTC,AMAT,0.0547278586337423,1,0,0.6666666666666666
2023-08-29,4,2,2,0,"AMAT,CCJ","NVDA,VIST",0.0028483758298342016,1,0,1.0
2023-09-06,2,1,1,1,VIST,INTC,0.1096948713611558,1,0,0.6666666666666666
2023-09-13,4,2,2,0,"INTC,NVDA","CCJ,TSLA",-0.009116016799061152,0,0,1.0
2023-09-20,2,1,1,1,CCJ,VIST,-0.0412658498257021,0,0,0.6666666666666666
2023-09-27,2,1,1,1,TSLA,CCJ,-0.1167567643702898,0,0,0.6666666666666666
2023-10-04,2,1,1,1,CCJ,TSLA,0.1352322845764171,1,0,0.6666666666666666
2023-10-11,2,1,1,1,TSLA,META,-0.1554431390624086,0,0,0.6666666666666666
2023-10-18,2,1,1,1,META,YPF,0.0496576653114102,0,0,0.6666666666666666
2023-10-25,4,2,2,0,"VIST,YPF","MSFT,NFLX",0.14887226223716085,1,0,1.0
2023-11-01,2,1,1,1,MSFT,CCJ,0.0948940839797312,1,0,0.6666666666666666
2023-11-08,0,0,0,2,,,,0,0,0.0
2023-11-15,2,1,1,1,CCJ,AMD,0.0704192968373622,1,0,0.6666666666666666
2023-11-22,2,1,1,1,NFLX,YPF,0.0284728050786231,0,0,0.6666666666666666
2023-11-30,2,1,1,1,AMD,TSLA,0.2166556553861283,1,0,0.6666666666666666
2023-12-07,2,1,1,1,TSLA,VIST,-0.0090257271963201,0,0,0.6666666666666666
2023-12-14,2,1,1,1,VIST,AMD,0.0451745938806222,0,0,0.6666666666666666
2023-12-21,0,0,0,2,,,,0,0,0.0
2023-12-29,0,0,0,2,,,,0,0,0.0
2024-01-08,0,0,0,2,,,,0,0,0.0
2024-01-16,2,1,1,1,YPF,NVDA,0.1173708932199448,1,0,0.6666666666666666
2024-01-23,0,0,0,2,,,,0,0,0.0
2024-01-30,2,1,1,1,NVDA,YPF,0.2371842509039503,1,0,0.6666666666666666
2024-02-06,2,1,1,1,AMD,META,0.2546461684334673,1,0,0.6666666666666666
2024-02-13,0,0,0,2,,,,0,0,0.0
2024-02-21,2,1,1,1,YPF,VIST,0.1415095315704453,1,0,0.6666666666666666
2024-02-28,2,1,1,1,VIST,NVDA,0.171381033550187,1,0,0.6666666666666666
2024-03-06,2,1,1,1,META,AMD,0.0298938039454899,0,0,0.6666666666666666
2024-03-13,0,0,0,2,,,,0,0,0.0
2024-03-20,2,0,2,2,,"VIST,YPF",,0,0,0.5
2024-03-27,2,2,0,2,"AMD,VIST",,-0.06611364635156375,0,0,0.5
2024-04-04,4,2,2,0,"NVDA,YPF","CCJ,GOOGL",0.052132436047984454,1,0,1.0
2024-04-11,2,1,1,1,GOOGL,YPF,0.0661815620688395,1,0,0.6666666666666666
2024-04-18,2,1,1,1,YPF,META,0.2396434068147657,1,0,0.6666666666666666
2024-04-25,2,1,1,1,META,YPF,0.0552811491833724,1,0,0.6666666666666666
2024-05-02,2,1,1,1,CCJ,TSLA,0.1464271049298622,1,0,0.6666666666666666
2024-05-09,0,0,0,2,,,,0,0,0.0
2024-05-16,0,0,0,2,,,,0,0,0.0
2024-05-23,4,2,2,0,"TSLA,YPF","NVDA,QCOM",0.011857165624282401,1,0,1.0
2024-05-31,2,1,1,1,QCOM,CCJ,-0.0197010743069738,0,0,0.6666666666666666
2024-06-07,2,1,1,1,CCJ,AMD,-0.0825842644456652,0,0,0.6666666666666666
2024-06-14,2,1,1,1,AMD,AVGO,0.1122595854213042,1,0,0.6666666666666666
2024-06-24,0,0,0,2,,,,0,0,0.0
2024-07-01,2,1,1,1,NVDA,TSLA,-0.1654867191456061,0,0,0.6666666666666666
2024-07-09,0,0,0,2,,,,0,0,0.0
2024-07-16,2,1,1,1,AVGO,AMD,-0.0780493614334792,0,0,0.6666666666666666
2024-07-23,2,1,1,1,AMD,NVDA,0.0155843759511973,0,0,0.6666666666666666
2024-07-30,2,1,1,1,NVDA,YPF,0.2368649272118421,1,0,0.6666666666666666
2024-08-06,4,2,2,0,"TSLA,YPF","INTC,NVDA",0.19826584254456675,2,0,1.0
2024-08-13,4,2,2,0,"INTC,NVDA","VIST,YPF",-0.0169585867873496,0,0,1.0
2024-08-20,4,2,2,0,"VIST,YPF","AVGO,NVDA",0.014514542145691402,1,0,1.0
2024-08-27,2,1,1,1,AVGO,VIST,0.0875519235160167,1,0,0.6666666666666666
2024-09-04,2,1,1,1,NVDA,YPF,0.1190095047415957,1,0,0.6666666666666666
2024-09-11,4,2,2,0,"VIST,YPF","NVDA,TSLA",0.05456565920215775,1,0,1.0
2024-09-18,2,1,1,1,NVDA,INTC,0.1971420828495562,1,0,0.6666666666666666
2024-09-25,0,0,0,2,,,,0,0,0.0
2024-10-02,2,1,1,1,TSLA,CCJ,0.0342542099998315,0,0,0.6666666666666666
2024-10-09,2,1,1,1,CCJ,AVGO,0.0124554612615923,0,0,0.6666666666666666
2024-10-16,4,2,2,0,"AVGO,INTC","CCJ,NVDA",0.0493320893090861,1,0,1.0
2024-10-23,0,0,0,2,,,,0,0,0.0
2024-10-30,2,1,1,1,CCJ,TSLA,0.0709522390428685,1,0,0.6666666666666666
2024-11-06,2,1,1,1,NVDA,YPF,-0.0037772340460983,0,0,0.6666666666666666
2024-11-13,0,0,0,2,,,,0,0,0.0
2024-11-20,0,0,0,2,,,,0,0,0.0
2024-11-27,0,0,0,2,,,,0,0,0.0
2024-12-05,0,0,0,2,,,,0,0,0.0
2024-12-12,2,1,1,1,YPF,VIST,0.0236578921107095,0,0,0.6666666666666666
2024-12-19,2,1,1,1,VIST,AVGO,0.0880934748016315,1,0,0.6666666666666666
2024-12-27,0,0,0,2,,,,0,0,0.0
2025-01-06,0,0,0,2,,,,0,0,0.0
2025-01-14,0,0,0,2,,,,0,0,0.0
2025-01-22,2,1,1,1,TSLA,AMAT,-0.1462503760386828,0,0,0.6666666666666666
2025-01-29,4,2,2,0,"AMAT,AVGO","META,QCOM",-0.0738893009707879,0,0,1.0
2025-02-05,4,2,2,0,"META,QCOM","AVGO,NFLX",-0.1109291059025745,0,0,1.0
2025-02-12,2,1,1,1,NFLX,INTC,-0.1334943117637387,0,0,0.6666666666666666
2025-02-20,0,0,0,2,,,,0,0,0.0
2025-02-27,0,0,0,2,,,,0,0,0.0
2025-03-06,0,0,0,2,,,,0,0,0.0
2025-03-13,0,0,0,2,,,,0,0,0.0
2025-03-20,2,1,1,1,AVGO,CCJ,-0.1026030675020054,0,0,0.6666666666666666
2025-03-27,2,1,1,1,CCJ,YPF,0.0319024296569574,0,0,0.6666666666666666
2025-04-03,2,1,1,1,YPF,TSLA,-0.13293589227704,0,0,0.6666666666666666
2025-04-10,2,1,1,1,INTC,NVDA,0.0774648380552527,1,0,0.6666666666666666
2025-04-17,2,1,1,1,NVDA,VIST,0.3341215562762389,1,0,0.6666666666666666
2025-04-25,2,1,1,1,VIST,AVGO,0.0364355620336664,0,0,0.6666666666666666
2025-05-02,0,0,0,2,,,,0,0,0.0
2025-05-09,2,1,1,1,AVGO,VIST,0.1732949200764111,1,0,0.6666666666666666
2025-05-16,2,1,1,1,VIST,AMD,0.0368599788690542,0,0,0.6666666666666666
2025-05-23,2,1,1,1,AMD,AVGO,0.2549179198580882,1,0,0.6666666666666666
2025-06-02,0,0,0,2,,,,0,0,0.0
2025-06-09,4,2,2,0,"AVGO,TSLA","AMD,NVDA",0.048236362226655845,1,0,1.0
2025-06-16,2,1,1,1,NVDA,CCJ,0.1843941683986465,1,0,0.6666666666666666
2025-06-24,0,0,0,2,,,,0,0,0.0
2025-07-01,2,1,1,1,CCJ,INTC,0.0848332912849041,1,0,0.6666666666666666
2025-07-09,0,0,0,2,,,,0,0,0.0
2025-07-16,2,1,1,1,INTC,NVDA,-0.0207140242239155,0,0,0.6666666666666666
2025-07-23,0,0,0,2,,,,0,0,0.0
2025-07-30,2,1,1,1,NVDA,TSLA,0.0129971650333284,0,0,0.6666666666666666
2025-08-06,0,0,0,2,,,,0,0,0.0
2025-08-13,0,0,0,2,,,,0,0,0.0
2025-08-20,2,1,1,1,TSLA,TXN,0.2869713305296859,1,0,0.6666666666666666
2025-08-27,4,2,2,0,"AMD,TXN","INTC,TSLA",-0.07454690609066085,0,0,1.0
2025-09-04,2,1,1,1,TSLA,GOOGL,0.2879213114706809,1,0,0.6666666666666666
2025-09-11,2,1,1,1,INTC,AVGO,0.5359609223723851,1,0,0.6666666666666666
2025-09-18,4,2,2,0,"AVGO,GOOGL","INTC,TSLA",0.0116098779202303,0,0,1.0
2025-09-25,0,0,0,2,,,,0,0,0.0
2025-10-02,0,0,0,2,,,,0,0,0.0
2025-10-09,2,1,1,1,TSLA,AMD,0.0238095121314623,0,0,0.6666666666666666
2025-10-16,0,0,0,2,,,,0,0,0.0
2025-10-23,0,0,0,2,,,,0,0,0.0
2025-10-30,2,1,1,1,INTC,YPF,0.0099601973953862,0,0,0.6666666666666666
2025-11-06,2,1,1,1,AMD,VIST,-0.0830037693767205,0,0,0.6666666666666666
2025-11-13,0,0,0,2,,,,0,0,0.0
2025-11-20,0,0,0,2,,,,0,0,0.0
2025-11-28,0,0,0,2,,,,0,0,0.0
2025-12-05,4,2,2,0,"VIST,YPF","AMAT,INTC",-0.06859552187115485,0,0,1.0
2025-12-12,2,1,1,1,INTC,TSLA,0.2507272996010257,1,0,0.6666666666666666
2025-12-19,2,1,1,1,AMAT,CCJ,0.268437212235167,1,0,0.6666666666666666
2025-12-29,2,1,1,1,TSLA,AMD,-0.0613088989106253,0,0,0.6666666666666666
2026-01-06,2,1,1,1,AMD,AMAT,-0.0660601971491016,0,0,0.6666666666666666
2026-01-13,2,1,1,1,AMAT,INTC,0.1148358655372683,1,0,0.6666666666666666
2026-01-21,0,0,0,2,,,,0,0,0.0
2026-01-28,0,0,0,2,,,,0,0,0.0
2026-02-04,2,1,1,1,CCJ,VIST,-0.0050514007367727,0,0,0.6666666666666666
2026-02-11,2,1,1,1,VIST,TXN,0.1127564635298943,1,0,0.6666666666666666
2026-02-19,4,2,2,0,"INTC,TXN","AMAT,VIST",-0.050760284460179196,0,0,1.0
2026-02-26,2,1,1,1,VIST,INTC,0.2836853401046635,1,0,0.6666666666666666
2026-03-05,2,1,1,1,INTC,NFLX,0.096409145410695,1,0,0.6666666666666666
2026-03-12,2,1,1,1,AMAT,VIST,0.1844812857576276,1,0,0.6666666666666666
2026-03-19,0,0,0,2,,,,0,0,0.0
2026-03-26,2,1,1,1,NFLX,YPF,-0.0094298891587627,0,0,0.6666666666666666
2026-04-02,2,1,1,1,YPF,INTC,-0.0406899624705335,0,0,0.6666666666666666
2026-04-10,2,1,1,1,VIST,AMD,-0.0131659007638399,0,0,0.6666666666666666
2026-04-17,0,0,0,2,,,,0,0,0.0
2026-04-24,0,0,0,2,,,,0,0,0.0
2026-05-01,0,0,0,2,,,,0,0,0.0
2026-05-08,0,0,0,2,,,,0,0,0.0
2026-05-15,0,0,0,2,,,,0,0,0.0
