node,type,artifact,used_by,purpose,influences_growth_champion_final
Yahoo OHLCV cache,CSV cache,yahoo_ohlcv_price_cache/*.csv,"growth_universe_quality_filter.py,current_growth_feature_generation.py",price/volume/trend inputs,True
forecast_history,CSV,forecast_history.csv,current_growth_feature_generation.py,raw_target_return_exact/current prices,True
raw target features,CSV,current_raw_target_features.csv,current_growth_feature_generation.py,diagnostic raw target snapshot,True
growth features,CSV,current_growth_features.csv,current_growth_feature_generation.py,filtered/ranked feature set,True
quality filter,module,growth_universe_quality_filter.py,current_growth_feature_generation.py,blacklist/tradability/quality filter,True
holding sanity,module,final_selected_holdings_sanity_check.py,current_growth_feature_generation.py,final selected holding sanity,True
dual trend filter,function,current_growth_feature_generation._dual_trend_filter,current_growth_feature_generation.py,SPY/QQQ 200D cap,True
volatility targeting,function,current_growth_feature_generation._vol_target_exposure,current_growth_feature_generation.py,target vol exposure,True
current allocation,CSV,current_growth_candidate_allocation.csv,growth_candidate_paper_trading.py,final target holdings/weights,True
action reconciliation,module,growth_action_reconciliation.py,growth_candidate_paper_trading.py,BUY/SELL/REDUCE/INCREASE/HOLD,True
paper state,CSV,growth_candidate_paper_state.csv,"dashboard_app.py,growth_live_tracking_monitor.py,growth_paper_governance.py",paper holdings,True
paper trades,CSV,growth_candidate_paper_trades.csv,"dashboard_app.py,growth_live_tracking_monitor.py,growth_paper_governance.py",paper trades,True
paper performance,CSV,growth_candidate_paper_performance.csv,"dashboard_app.py,growth_live_tracking_monitor.py,benchmark_daily_series_export.py",paper equity/performance,True
dashboard,module,dashboard_app.py,read-only,visualization only,False
baseline allocation,module/output,financial_data_system.py final allocation,not read by growth paper,must not influence growth,False
baseline optimizer,module,optimizer,not read by growth paper,must not influence growth,False
baseline final expected returns,CSV columns,expected_daily_return/final_weight_percent,ignored for growth allocation,must not influence growth,False
baseline timing,module,EMA timing,not read by growth paper,must not influence growth,False
research diagnostics,modules,BL/IC/risk/meta/etc,not read by growth paper,diagnostics only,False
