model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,recovery_time,hit_rate,period_type,period,check,removed
year_2022,2022-01-03,2022-12-30,51,0.03752791795734067,0.03797801454400784,0.28815324999644126,0.27376761266249483,0.49520801981301804,0.21611632261549393,-0.17572950568651358,12.0,0.5098039215686274,year,2022,,
year_2023,2023-01-09,2023-12-29,50,0.422627383637848,0.43865397272157924,0.2250225309657231,1.7507876515431053,2.9555701724396632,3.5046119186093834,-0.12516477798649828,7.0,0.64,year,2023,,
year_2024,2024-01-08,2024-12-27,50,0.4449365758918784,0.46193722556259464,0.2563549312666606,1.6307225626108701,2.8521290884338963,3.0385662119647465,-0.15202473579270948,9.0,0.56,year,2024,,
year_2025,2025-01-06,2025-12-29,50,0.09061780813255504,0.09280624886742772,0.21141142290793374,0.5346873410771116,0.8812256439148176,0.5334499963186697,-0.173973661088916,14.0,0.58,year,2025,,
year_2026,2026-01-06,2026-05-15,19,0.47602464745780737,1.9132096254581392,0.35617962277122184,3.2060572733911803,8.072569068005647,14.968825924412608,-0.1278129383773441,6.0,0.631578947368421,year,2026,,
quarter_2022Q1,2022-01-03,2022-03-30,13,-0.07666316412593066,-0.273952849722071,0.4189640262659316,-0.5546411430796095,-1.0671858758215416,-2.0186095769139922,-0.13571363816716076,8.0,0.46153846153846156,quarter,2022Q1,,
quarter_2022Q2,2022-04-06,2022-06-27,12,-0.1250420151885131,-0.4405672213117654,0.18200309607790185,-3.082334215213027,-5.819686153347799,-3.3723509794575732,-0.13064097538940878,,0.3333333333333333,quarter,2022Q2,,
quarter_2022Q3,2022-07-05,2022-09-28,13,0.18105070278455027,0.9501448447042498,0.21189274982935175,3.2774811582420353,5.717200471057422,14.353592639720162,-0.06619561168783272,,0.6923076923076923,quarter,2022Q3,,
quarter_2022Q4,2022-10-05,2022-12-30,13,0.08738637907350544,0.39970119402007787,0.23833094043685135,1.5324112945918507,5.282163535068586,7.750163065640417,-0.05157326247651661,,0.5384615384615384,quarter,2022Q4,,
quarter_2023Q1,2023-01-09,2023-03-29,12,0.14250314678310705,0.7847459067334048,0.18983935129976914,3.1611678499947766,6.690973936259396,22.08276730477022,-0.035536574556210065,3.0,0.8333333333333334,quarter,2023Q1,,
quarter_2023Q2,2023-04-05,2023-06-26,12,0.20132270476366232,1.2201247650560298,0.2943497532326876,2.870038795232462,15.22586598285024,16.647012391862063,-0.07329391823198805,2.0,0.6666666666666666,quarter,2023Q2,,
quarter_2023Q3,2023-07-03,2023-09-27,13,-0.029993229463398885,-0.11505272332470629,0.1480692225662246,-0.7511789602945838,-1.6222312548938684,-1.7918290524270883,-0.06420965391138389,,0.38461538461538464,quarter,2023Q3,,
quarter_2023Q4,2023-10-04,2023-12-29,13,0.06856097262610317,0.3049468637801509,0.22393560128618967,1.3071637641654772,1.2300336447271978,3.1149280648177644,-0.09789852524186349,4.0,0.6923076923076923,quarter,2023Q4,,
