ticker,capital,avg_weight,max_weight,estimated_position_size,average_daily_dollar_volume,participation_rate,capacity_flag,confidence
AMAT,10000,0.2034892179580295,0.25,2500.0,,,unknown,low
AMAT,100000,0.2034892179580295,0.25,25000.0,,,unknown,low
AMAT,1000000,0.2034892179580295,0.25,250000.0,,,unknown,low
AMAT,10000000,0.2034892179580295,0.25,2500000.0,,,unknown,low
AMD,10000,0.20078036442440172,0.25,2500.0,,,unknown,low
AMD,100000,0.20078036442440172,0.25,25000.0,,,unknown,low
AMD,1000000,0.20078036442440172,0.25,250000.0,,,unknown,low
AMD,10000000,0.20078036442440172,0.25,2500000.0,,,unknown,low
AMZN,10000,0.21722183284152466,0.25,2500.0,,,unknown,low
AMZN,100000,0.21722183284152466,0.25,25000.0,,,unknown,low
AMZN,1000000,0.21722183284152466,0.25,250000.0,,,unknown,low
AMZN,10000000,0.21722183284152466,0.25,2500000.0,,,unknown,low
AVGO,10000,0.19673371081705207,0.5,5000.0,,,unknown,low
AVGO,100000,0.19673371081705207,0.5,50000.0,,,unknown,low
AVGO,1000000,0.19673371081705207,0.5,500000.0,,,unknown,low
AVGO,10000000,0.19673371081705207,0.5,5000000.0,,,unknown,low
CCJ,10000,0.20245872952197427,0.3333333333333333,3333.333333333333,,,unknown,low
CCJ,100000,0.20245872952197427,0.3333333333333333,33333.33333333333,,,unknown,low
CCJ,1000000,0.20245872952197427,0.3333333333333333,333333.3333333333,,,unknown,low
CCJ,10000000,0.20245872952197427,0.3333333333333333,3333333.333333333,,,unknown,low
COST,10000,0.201493686086583,0.201493686086583,2014.9368608658299,,,unknown,low
COST,100000,0.201493686086583,0.201493686086583,20149.3686086583,,,unknown,low
COST,1000000,0.201493686086583,0.201493686086583,201493.686086583,,,unknown,low
COST,10000000,0.201493686086583,0.201493686086583,2014936.86086583,,,unknown,low
GOOGL,10000,0.18937190247209154,0.2094798892016232,2094.798892016232,,,unknown,low
GOOGL,100000,0.18937190247209154,0.2094798892016232,20947.98892016232,,,unknown,low
GOOGL,1000000,0.18937190247209154,0.2094798892016232,209479.88920162318,,,unknown,low
GOOGL,10000000,0.18937190247209154,0.2094798892016232,2094798.892016232,,,unknown,low
INTC,10000,0.18241537186551124,0.25,2500.0,,,unknown,low
INTC,100000,0.18241537186551124,0.25,25000.0,,,unknown,low
INTC,1000000,0.18241537186551124,0.25,250000.0,,,unknown,low
INTC,10000000,0.18241537186551124,0.25,2500000.0,,,unknown,low
META,10000,0.20791637466809018,0.25,2500.0,,,unknown,low
META,100000,0.20791637466809018,0.25,25000.0,,,unknown,low
META,1000000,0.20791637466809018,0.25,250000.0,,,unknown,low
META,10000000,0.20791637466809018,0.25,2500000.0,,,unknown,low
MSFT,10000,0.25,0.25,2500.0,,,unknown,low
MSFT,100000,0.25,0.25,25000.0,,,unknown,low
MSFT,1000000,0.25,0.25,250000.0,,,unknown,low
MSFT,10000000,0.25,0.25,2500000.0,,,unknown,low
NFLX,10000,0.1932424906469508,0.25,2500.0,,,unknown,low
NFLX,100000,0.1932424906469508,0.25,25000.0,,,unknown,low
NFLX,1000000,0.1932424906469508,0.25,250000.0,,,unknown,low
NFLX,10000000,0.1932424906469508,0.25,2500000.0,,,unknown,low
NVDA,10000,0.2027571284327518,0.25,2500.0,,,unknown,low
NVDA,100000,0.2027571284327518,0.25,25000.0,,,unknown,low
NVDA,1000000,0.2027571284327518,0.25,250000.0,,,unknown,low
NVDA,10000000,0.2027571284327518,0.25,2500000.0,,,unknown,low
QCOM,10000,0.1785608642901422,0.2136821910330908,2136.821910330908,,,unknown,low
QCOM,100000,0.1785608642901422,0.2136821910330908,21368.21910330908,,,unknown,low
QCOM,1000000,0.1785608642901422,0.2136821910330908,213682.1910330908,,,unknown,low
QCOM,10000000,0.1785608642901422,0.2136821910330908,2136821.910330908,,,unknown,low
TSLA,10000,0.20513987940744838,0.5,5000.0,,,unknown,low
TSLA,100000,0.20513987940744838,0.5,50000.0,,,unknown,low
TSLA,1000000,0.20513987940744838,0.5,500000.0,,,unknown,low
TSLA,10000000,0.20513987940744838,0.5,5000000.0,,,unknown,low
TXN,10000,0.18048634459600887,0.2071626968862547,2071.626968862547,,,unknown,low
TXN,100000,0.18048634459600887,0.2071626968862547,20716.269688625467,,,unknown,low
TXN,1000000,0.18048634459600887,0.2071626968862547,207162.69688625468,,,unknown,low
TXN,10000000,0.18048634459600887,0.2071626968862547,2071626.9688625468,,,unknown,low
VIST,10000,0.19284551383100437,0.25,2500.0,,,unknown,low
VIST,100000,0.19284551383100437,0.25,25000.0,,,unknown,low
VIST,1000000,0.19284551383100437,0.25,250000.0,,,unknown,low
VIST,10000000,0.19284551383100437,0.25,2500000.0,,,unknown,low
YPF,10000,0.2009587113134739,0.25,2500.0,,,unknown,low
YPF,100000,0.2009587113134739,0.25,25000.0,,,unknown,low
YPF,1000000,0.2009587113134739,0.25,250000.0,,,unknown,low
YPF,10000000,0.2009587113134739,0.25,2500000.0,,,unknown,low
